# Magnitude vs Misfit (dM = 0.01)
# Mw	Misfit	VR(%)
5.85	0.334601	66.5
5.86	0.322226	67.8
5.87	0.310204	69.0
5.88	0.298603	70.1
5.89	0.287444	71.3
5.90	0.275018	72.5
5.91	0.262932	73.7
5.92	0.251037	74.9
5.93	0.239726	76.0
5.94	0.229090	77.1
5.95	0.219231	78.1
5.96	0.210258	79.0
5.97	0.202290	79.8
5.98	0.195457	80.5
5.99	0.189900	81.0
6.00	0.185772	81.4
6.01	0.183241	81.7
6.02	0.182485	81.8
6.03	0.183702	81.6
6.04	0.187104	81.3
6.05	0.192920	80.7
6.06	0.200931	79.9
6.07	0.210736	78.9
6.08	0.222160	77.8
6.09	0.238839	76.1
6.10	0.248636	75.1
6.11	0.259083	74.1
6.12	0.272533	72.7
6.13	0.289280	71.1
6.14	0.305770	69.4
6.15	0.324229	67.6
